,0
0,2314866.7627953505
1,5058120.6092861025
2,1949905.1940492447
3,2957885.884300547
4,5109012.077090868
5,4303255.247220691
6,3824341.2493588077
7,2933336.432681655
8,1947885.8908895974
9,4957882.928758783
10,3571326.6705303793
11,4290391.627411303
12,2518072.630938175
13,6952328.141667328
14,6238355.031443666
15,5744073.002686163
16,29383887.14019359
17,3774941.24712631
18,6940044.876261484
19,2556158.0276912125
20,1291762.2969515272
21,3541009.2969769994
22,4443209.674409476
23,2763219.726373488
24,6605370.90571728
25,2483110.616152401
26,7223565.107183963
27,2748338.0299051525
28,5467910.74039275
29,5982644.420829745
30,3391254.2329314887
31,5757494.090053189
32,4412821.678912534
33,7832467.910341797
34,3047913.861444129
35,5954270.879269484
36,9276419.230684945
37,19839908.506437544
38,4258458.646354853
39,9933647.560853707
40,6421422.800312211
41,1700190.948890514
42,2082835.8949658347
43,9463404.997293547
44,6348689.071309461
45,3393069.0740506025
46,4235545.430829175
